City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,74,6,5.73,clear sky
138,Kampot,KH,10.6167,104.1833,76.96,83,13,3.78,few clouds
139,Sao Filipe,CV,14.8961,-24.4956,74.82,63,41,10.78,scattered clouds
140,Mehran,IR,33.1222,46.1646,56.68,41,0,2.95,clear sky
141,Halifax,CA,44.6453,-63.5724,32.22,72,100,5.99,overcast clouds
142,Salta,AR,-24.7859,-65.4117,70.09,66,75,5.75,broken clouds
143,Hami,CN,42.8,93.45,25.77,50,49,5.68,scattered clouds
144,Chokurdakh,RU,70.6333,147.9167,-5.42,94,100,10.13,overcast clouds
145,Hermosillo,MX,29.0667,-110.9667,90.25,9,36,5.99,scattered clouds
146,Haines Junction,CA,60.7522,-137.5108,19.35,73,100,0.0,overcast clouds
147,Dwarka,IN,22.2394,68.9678,69.76,61,0,9.71,clear sky
148,Port Hardy,CA,50.6996,-127.4199,48.38,66,75,14.97,broken clouds
149,Longyearbyen,SJ,78.2186,15.6401,15.64,86,75,4.61,light snow
150,Clyde River,CA,70.4692,-68.5914,-23.57,69,75,16.11,broken clouds
151,Lagoa,PT,39.05,-27.9833,56.62,61,81,7.2,broken clouds
152,Batemans Bay,AU,-35.7167,150.1833,65.1,72,100,4.59,overcast clouds
153,Lima,PE,-12.0432,-77.0282,78.39,83,0,13.8,clear sky
154,Vargem Grande Do Sul,BR,-21.8322,-46.8936,88.25,85,26,1.41,scattered clouds
155,Mogok,MM,22.9167,96.5,50.18,51,1,2.01,clear sky
156,Necochea,AR,-38.5473,-58.7368,68.58,38,1,6.24,clear sky
157,Richards Bay,ZA,-28.783,32.0377,76.59,90,59,5.35,broken clouds
158,Mount Gambier,AU,-37.8333,140.7667,60.71,88,100,12.66,overcast clouds
159,Mayo,US,38.8876,-76.5119,35.65,75,100,10.36,light rain
160,Latung,PH,5.5,120.8833,81.72,75,100,9.26,overcast clouds
161,Jiuquan,CN,39.7432,98.5174,25.34,57,100,6.51,overcast clouds
